id,first_name,last_name,dob,email,phone,city,state,standing,major
A00185971,Ali,Vedntyev,07/18/2001,avedntyev0@university.edu,713-740-1877,Houston,TX,SO,PHSI
A00939086,Knox,Micallef,12/17/1998,kmicallef1@university.edu,917-271-2752,Brooklyn,NY,GR,ENTC
A00166576,Arv,Camerello,12/25/1999,acamerello2@university.edu,571-482-5319,Vienna,VA,SR,STAT
A00806467,Toni,MacLardie,12/15/1999,tmaclardie3@university.edu,417-665-7977,Springfield,MO,FR,BIOL
A00442619,Thia,Mepham,02/16/2001,tmepham4@university.edu,915-972-6043,El Paso,TX,SO,HIMT
A00187199,Shirl,Rushmer,05/22/2000,srushmer5@university.edu,210-392-2025,San Antonio,TX,SR,LATN
A00035399,Tersina,Pozzi,08/17/1998,tpozzi6@university.edu,915-581-3863,El Paso,TX,JR,INTD
A00655514,Sandye,Richmond,01/31/2000,srichmond7@university.edu,425-787-2842,Seattle,WA,GR,COBH
A00000944,Kalle,Cray,09/16/1997,kcray8@university.edu,727-787-6506,Saint Petersburg,FL,SR,TELC
A00610289,Nertie,Giorgeschi,06/27/1999,ngiorgeschi9@university.edu,718-834-2305,Staten Island,NY,SO,EDUC
A00987263,Bobbette,Brissard,03/03/2001,bbrissarda@university.edu,502-280-8180,Louisville,KY,FR,EDCI
A00287176,Debee,Benoi,12/15/2000,dbenoib@university.edu,509-905-5722,Spokane,WA,FR,JRSM
A00130527,Padget,McJarrow,09/09/2000,pmcjarrowc@university.edu,615-730-3067,Nashville,TN,GR,PBRL
A00387525,Durant,Boyett,12/15/2002,dboyettd@university.edu,407-213-2815,Orlando,FL,SR,BADM
A00882571,Justis,Rosie,02/04/2002,jrosiee@university.edu,714-351-5234,Los Angeles,CA,SO,FREN
A00585501,Brittne,Cossons,07/14/1997,bcossonsf@university.edu,406-605-5069,Bozeman,MT,SR,EPID
A00591650,Dall,Corrin,11/26/1999,dcorring@university.edu,312-297-7845,Chicago,IL,JR,MUSC
A00804368,Neale,Hirtzmann,02/20/2000,nhirtzmannh@university.edu,281-182-0066,Houston,TX,FR,APST
A00809092,Juliana,Crosher,05/31/1996,jcrosheri@university.edu,404-266-1219,Atlanta,GA,JR,JOUR
A00512134,Binnie,Adamovich,12/13/1995,badamovichj@university.edu,907-431-7318,Anchorage,AK,JR,PMPR
A00696497,Audra,Janicki,10/08/2002,ajanickik@university.edu,203-987-8260,Norwalk,CT,GR,GREK
A00629025,Budd,Bernade,11/18/2000,bbernadel@university.edu,918-973-7193,Tulsa,OK,SO,TEAE
A00940598,Chico,Pavinese,03/01/2000,cpavinesem@university.edu,951-324-5493,San Bernardino,CA,FR,MDT
A00234657,Emili,Ellor,12/21/2000,eellorn@university.edu,801-657-1341,Salt Lake City,UT,SR,CISP
A00585183,Estelle,Berford,06/16/1995,eberfordo@university.edu,574-585-2138,South Bend,IN,FR,JAPN
A00245561,Addie,Magner,09/20/1995,amagnerp@university.edu,602-513-7818,Phoenix,AZ,SR,BMGT
A00263349,Teddi,Damarell,10/08/1998,tdamarellq@university.edu,716-452-6518,Buffalo,NY,FR,HETH
A00647286,Gerek,Huthart,02/25/1998,ghuthartr@university.edu,763-410-5627,Minneapolis,MN,SO,BSTA
A00803774,Darren,Beany,09/05/1998,dbeanys@university.edu,267-276-6408,Levittown,PA,SO,HIST
